threat_name,summary,tags,date
noberus,"Firma Symantec zaobserwowała nowe ataki z wykorzystaniem oprogramowania ransomware Noberus (ALPHV/BlackCat). Jedenaście dni przed próbą wdrożenia oprogramowania ransomware w siec i ofiary zaobserwowano darmowe narzędzie do skanowania sieci Advanced Port Scanner. To narzędzie podwójnego zastosowania zostało prawdopodobnie wykorzystane przez aktorów zagrożeń do rozp oznania wczesnego etapu. Podmioty wykorzystały iisrstas.exe, legalny proces związany z Internet Information Services (IIS) firmy Microsoft. Proces iisrstas.exe może zostać wykorzystany do  wymuszonego zabicia usługi IIS, usługi IISADMIN i/lub dowolnego procesu hostującego binarkę iisw3adm.dll. Napastnicy prawdopodobnie zrobili to, aby zapewnić pomyślne zaszyfrowanie danych . Z nieznanych jeszcze powodów, osoby stanowiące zagrożenie wykorzystały Citrix WinFrame Shell do uruchomienia programu Excel.exe, po czym natychmiast wykonało się oprogramowanie ransomwa re Noberus.","windows,ransomware",2022-02-23
deeppanda_log4shell,"During the past month, FortiEDR detected a campaign by Deep Panda, a Chinese APT group. The group exploited the infamous Log4Shell vulnerability in VMware Horizon servers. The nature of targeting was opportunistic insofar that multiple infections in several countries and various sectors occurred on the same dates.Deep Panda deployed a backdoor on the infected machines. Following from the backdoor led us to discover a novel kernel rootkit signed with a stolen digital certificate.",windows,2022-04-05
emotet,"Emotet pojawił się po raz pierwszy w 2014 roku jako prosty trojan bankowy. Od tego czasu przekształcił się w jedną z najniebezpieczniejszych operacji botnetowych w krajobrazie zagrożeń. Ataki Emotet wykorzystują kampanie phishingowe, aby nakłonić organizacje do zainfekowania się złośliwym oprogramowaniem. Zazwyczaj wiadomości phishingowe zawierają załączone pliki firmy Microsoft zawierające niebezpieczne makra. Po uruchomieniu makra rozprzestrzeniają infekcję Emotet w sieci połączonych urządzeń, tworząc sieć robotów lub „botnet”.","phishing",2023-03-22
pandora_ransomware,"Oprogramowanie ransomware Pandora zawiera wszystkie najważniejsze funkcje, które zwykle zawierają najnowocześniejsze próbki oprogramowania ransomware. Poziom zaciemniania w celu spowolnienia analizy jest bardziej zaawansowany niż przeciętne złośliwe oprogramowanie. Grupa ransomware Pandora celuje w sieci korporacyjne w celu uzyskania korzyści finansowych.",windows,2023-03-22
HermeticWiper,"Nowa forma złośliwego oprogramowania wymazującego dyski (Trojan.Killdisk) została wykorzystana do zaatakowania organizacji na Ukrainie na krótko przed rozpoczęciem rosyjskiej inwazji dziś rano (24 lutego). Firma Symantec, oddział firmy Broadcom Software, znalazła również dowody na ataki typu ""wiper"" na maszyny na Litwie. Wśród zaatakowanych sektorów znalazły się organizacje z sektora finansowego, obronnego, lotniczego oraz usług informatycznych.  Trojan.Killdisk ma postać pliku wykonywalnego, który jest podpisany certyfikatem wydanym przez firmę Hermetica Digital Ltd. Trojan.Killdisk zawiera 32-bitowe i 64-bitowe sterowniki. Zawiera on 32-bitowe i 64-bitowe pliki sterowników, które są skompresowane algorytmem Lempel-Ziv i zapisane w sekcji zasobów. Pliki sterowników są podpisane certyfikatem wystawionym dla EaseUS Partition Master. Szkodliwe oprogramowanie zrzuca odpowiedni plik w zależności od wersji systemu operacyjnego zainfekowanego systemu. Nazwy plików sterowników są generowane przy użyciu identyfikatora procesu wipera.  Po uruchomieniu wiper uszkadza główny rekord rozruchowy (Master Boot Record, MBR) zainfekowanego komputera, uniemożliwiając jego działanie. Nie wydaje się, aby wiper posiadał jakiekolwiek dodatkowe funkcje poza możliwościami destrukcyjnymi.","windows,ransomware",2022-02-24
CyclopsBlink,"Cyclops Blink jest złośliwym plikiem wykonywalnym ELF dla systemu Linux, skompilowanym dla 32-bitowej architektury PowerPC (big-endian). architektury. Analizy NCSC, FBI, CISA, NSA i przemysłu powiązały go z botnetem na dużą skalę skierowanym na urządzenia sieciowe typu Small Office/Home Office (SOHO). Ten botnet jest aktywny co najmniej od co najmniej od czerwca 2019 r., wpływając na WatchGuard Firebox i prawdopodobnie inne urządzenia sieciowe SOHO","linux,web",2022-02-25
conti,"Agencja Bezpieczeństwa Cybernetycznego i Infrastruktury (CISA) oraz Federalne Biuro Śledcze (FBI) zaobserwowały zwiększone wykorzystanie oprogramowania ransomware Conti w ponad 400 atakach na organizacje amerykańskie i międzynarodowe. (Patrz FBI Flash: Ataki Conti Ransomware wpływają na sieci służby zdrowia i służb szybkiego reagowania). W typowych atakach ransomware Conti złośliwi cyberaktywiści kradną pliki, szyfrują serwery i stacje robocze, a następnie żądają zapłacenia okupu.   Aby zabezpieczyć systemy przed oprogramowaniem Conti ransomware, CISA, FBI oraz Agencja Bezpieczeństwa Narodowego (NSA) zalecają wdrożenie środków zaradczych opisanych w niniejszym poradniku, które obejmują wymóg wieloczynnikowego uwierzytelniania (MFA), segmentację sieci oraz aktualizację systemów operacyjnych i oprogramowania.","windows,ransomware",2022-02-28
Russia-Ukraine,"Ataki związane z wojną między Rosją, a Ukrainą","windows,office",2023-03-13
Botnet_Zloader,"Zloader zaczynał jako trojan bankowy, ale ostatnio ewoluował, by stać się dystrybutorem kilku rodzin złośliwego oprogramowania, w tym różnych rodzin oprogramowania ransomware.  Zloader był używany przez różne grupy stowarzyszone, a każda z nich stosowała inne podejście do dystrybucji szkodliwego oprogramowania, w tym:  Zestaw exploitów RIG Wiadomości spamowe o tematyce COVID-19 z dołączonymi złośliwymi dokumentami Microsoft Word Warianty fałszywych wiadomości e-mail zawierających spam ze złośliwymi makrami XLS Niewłaściwe użycie Google Ads","phishing",2022-04-25
emotet_maldoc,ransom email vector,"phishing",2022-04-25
